# WOLF (Wordnet Libre du Français)	fra	http://alpage.inria.fr/~sagot/wolf-en.html	CeCILL-C
00024893-r	fre:lemma	ou
00024893-r	fre:lemma	non plus
00025034-v	fre:lemma	faire la vaisselle
00025144-r	fre:lemma	sanglant
00025144-r	fre:lemma	foutu
00025203-v	fre:lemma	bander
00025203-v	fre:lemma	tendre
00025203-v	fre:lemma	raidir
00025290-r	fre:lemma	n'importe où
00025290-r	fre:lemma	partout
00025290-r	fre:lemma	tout
00025464-r	fre:lemma	e part
00025464-r	fre:lemma	pas
00025559-r	fre:lemma	quelque part
00025654-v	fre:lemma	relâcher
00025654-v	fre:lemma	débander
00025728-a	fre:lemma	alcalin
00025728-r	fre:lemma	partout
00026137-r	fre:lemma	d'une façon ou d'une autre
00026153-v	fre:lemma	temps
00026168-a	fre:lemma	basique
00026192-n	fre:lemma	émotion
00026192-n	fre:lemma	sentiment
00026385-v	fre:lemma	décompresser
00026416-r	fre:lemma	d'une façon ou d'une autre
00026515-a	fre:lemma	amphotère
00026571-r	fre:lemma	quand même
00026571-r	fre:lemma	de toute façon
00026571-r	fre:lemma	en tout cas
00026734-v	fre:lemma	végéter
00027167-n	fre:lemma	localisation
00027167-n	fre:lemma	lieu
00027258-r	fre:lemma	quand même
00027258-r	fre:lemma	de toute façon
00027258-r	fre:lemma	en tout cas
00027268-v	fre:lemma	étendre
00027384-r	fre:lemma	pourtant
00027384-r	fre:lemma	néanmoins
00027384-r	fre:lemma	toutefois
00027384-r	fre:lemma	cependant
00027384-r	fre:lemma	nonobstant
00027384-r	fre:lemma	encore
00027705-v	fre:lemma	transmettre
00027705-v	fre:lemma	étendre
00027795-r	fre:lemma	pourtant
00027795-r	fre:lemma	encore
00027807-n	fre:lemma	forme
00027918-r	fre:lemma	jusqu'
00027918-r	fre:lemma	jusqu'ici
00027918-r	fre:lemma	alors
00027918-r	fre:lemma	jusqu'alors
00027918-r	fre:lemma	jusqu'à maintenant
00027918-r	fre:lemma	encore
00027918-r	fre:lemma	jusqu'à présent
00028167-v	fre:lemma	grue
00028270-n	fre:lemma	temps
00028270-n	fre:lemma	durée
00028319-r	fre:lemma	exclusivement
00028319-r	fre:lemma	seul
00028319-r	fre:lemma	seulement
00028362-v	fre:lemma	revigorer
00028424-r	fre:lemma	toutefois
00028424-r	fre:lemma	cependant
00028471-a	fre:lemma	supposé
00028471-a	fre:lemma	putatif
00028565-v	fre:lemma	sourire
00028651-n	fre:lemma	local
00028651-n	fre:lemma	espace
00028876-v	fre:lemma	fossette
00028923-r	fre:lemma	légèrement
00028923-r	fre:lemma	lestement
00028923-r	fre:lemma	à la légère
00028984-a	fre:lemma	secret
00029037-r	fre:lemma	outre
00029114-n	fre:lemma	espace des phases
00029214-v	fre:lemma	poutre
00029336-v	fre:lemma	minauder
00029343-a	fre:lemma	acquisitif
00029343-a	fre:lemma	avide
00029367-r	fre:lemma	de surcroît
00029367-r	fre:lemma	de plus
00029367-r	fre:lemma	outre
00029367-r	fre:lemma	en outre
00029378-n	fre:lemma	évènement
00029378-n	fre:lemma	événement
00029639-r	fre:lemma	plus loin
00029677-n	fre:lemma	processus
00029677-n	fre:lemma	procédure
00029836-v	fre:lemma	rugir
00029933-a	fre:lemma	avare
00029933-a	fre:lemma	avide
00029933-a	fre:lemma	cupide
00029933-a	fre:lemma	avaricieux
00029985-r	fre:lemma	plus loin
00030010-v	fre:lemma	ricaner
00030010-v	fre:lemma	ricanement
00030142-v	fre:lemma	ricaner
00030142-v	fre:lemma	pouffer
00030358-n	fre:lemma	acte
00030358-n	fre:lemma	l'action humaine
00030443-r	fre:lemma	loin
00030443-r	fre:lemma	davantage
00030443-r	fre:lemma	encore
00030463-v	fre:lemma	démanteler
00030463-v	fre:lemma	casser
00030508-a	fre:lemma	possessif
00031138-a	fre:lemma	rapace
00031138-a	fre:lemma	vorace
00031214-r	fre:lemma	inutilement
00031214-r	fre:lemma	en vain
00031214-r	fre:lemma	vainement
00031264-n	fre:lemma	groupe
00031264-n	fre:lemma	groupement
00031264-n	fre:lemma	ensemble
00031304-r	fre:lemma	encore
00031304-r	fre:lemma	toujours
00031384-a	fre:lemma	avide
00031515-r	fre:lemma	plus
00031515-r	fre:lemma	ni plus ni moins
00031606-r	fre:lemma	plus
00031663-v	fre:lemma	glousser
00031798-r	fre:lemma	déjà
00031820-v	fre:lemma	se bidonner
00031820-v	fre:lemma	rire
00031899-r	fre:lemma	réel
00031899-r	fre:lemma	très
00031899-r	fre:lemma	vraiment
00031921-n	fre:lemma	relation
00031921-n	fre:lemma	rapport
00031974-a	fre:lemma	vivant
00031974-a	fre:lemma	actif
00032180-r	fre:lemma	fantastiquement
00032180-r	fre:lemma	formidablement
00032180-r	fre:lemma	prodigieusement
00032180-r	fre:lemma	fabuleusement
